year,dam,sire,f_pct,verdict,rescue,reason,top_ancestor,top_contrib_pct
1,APP OSA PHRENCH BRAID,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,APP WILD PHLOX,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,CRYSTAL MOCHACCINO,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RR SARAH VAUGHN,PHPC ARTILLERY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,SC'S CRICKIT,PHPC ARTILLERY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RED GRANITES PRIM & PROPER,RED GRANITES BRAVEHEART,0.08,PROCEED,R,rescue: last carrier of CRESCENT MOON'S KRYPTONITE; F=0.08% PROCEED,PPPERUVIAN ROYAL FAWN 6014,32.0
1,VINTAGE CASHMERE'S U-TAUPE-IA,SNOWMASS CONOPA XXX,0.00,PROCEED,R,"rescue: last carrier of MACINTOSH S086 ALOA, PPPERUVIAN PRESTIGE 4999; F=0.00% PROCEED",,
1,SCA PERUVIAN SILVERBELLE,SNOWMASS MATRIX,0.00,PROCEED,R,rescue: last carrier of GARNETT; F=0.00% PROCEED,,
1,HEAVEN'S HILL PERUVIAN CELESTIA,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,HERITAGE SILVER PROMISE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,HOWLING HILL SING THE BODY ELECTRIC,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,MISS ALOHA MOONSHINE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,CIRCLE CLIFF'S SWEET CAROLINE,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,MTAR PHASMA,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,RED GRANITES AFTERSHOCK,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
1,WILLOWWIND SL HALO,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,HEAVEN'S HILL PERUVIAN CELESTIA,APP PHORCE PHACTOR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,HOWLING HILL SING THE BODY ELECTRIC,APP PHORCE PHACTOR,0.15,PROCEED,,F=0.15% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,100.0
2,4-SIGHT'S HOLIDAY,ARAPAHO DELGADO'S ILLYAPA,0.00,PROCEED,R,"rescue: last carrier of AUSSIE GUNS -N- ROSES Huarava 320036107 - LIinited States, BISTURI, LV BLACK EYED SUSAN (+2 more); F=0.00% PROCEED",,
2,CIRCLE CLIFF'S SWEET CAROLINE,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,R,"rescue: last carrier of ETIENNE OF REDWOOD RIDGE, GREENER PASTURES LAHELA, REMINGTON OF REDWOODRIDGE (+2 more); F=0.00% PROCEED",,
2,IRISH MEADOWS TAYT,CRYSTAL ROYAL GOLD'S MACKINAW,0.00,PROCEED,R,"rescue: last carrier of SNOWMASS MIDNIGHT FOX, SNOWMASS QUECHUA'S SHAHTOOSH; F=0.00% PROCEED",,
2,SC'S CRICKIT,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,VINTAGE CASHMERE'S U-TAUPE-IA,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,RR PALOMA PICASSO,HMAF'S AIRGEAD,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,RR WONDER WOMAN,HMAF'S AIRGEAD,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,SCA PERUVIAN SILVERBELLE,HMAF'S AIRGEAD,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,SNOWMASS MIDNIGHT GAZE,HMAF'S AIRGEAD,0.07,PROCEED,,F=0.07% PROCEED; no close common ancestor in the recorded pedigree,,
2,SNOWMASS ENCHANTED TOUCH,LIBERTYALPACAS SMOKE SCREEN,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,MISS AUTARY,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,NOBLE AMARETTO,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,RGR'S MISS CONTRARY,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,ROYAL DIAMANTE'S JEWEL,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,ESTATES LA PRESTIGE CRIMSON,PALLATON'S KALIBAUT ALYST,0.00,PROCEED,R,"rescue: last carrier of ACCOYO AMERICA APOCALYPSE, ACCOYO AMERICA MARATHON, MFI PERUVIAN CHAMPAGNE (+5 more); F=0.00% PROCEED",,
2,THAT'LL DO BLACKBEARD'S BOOTY,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,PATAGONIA'S DUSTY,PHPC ARTILLERY,0.00,PROCEED,R,"rescue: last carrier of 6PERUVIAN DONA MAISA 6537 IMPR98, MI AMIGOS PERUVIAN LUPITA, SCA PERUVIAN DESERT SUN; F=0.00% PROCEED",,
2,APP WILD PHLOX,RED GRANITES ALYDAR,0.42,PROCEED,,F=0.42% PROCEED; no close common ancestor in the recorded pedigree,SNOWMASS CONOPA XXX,46.4
2,PARAGON'S ESMERALDA,RED GRANITES ALYDAR,0.22,PROCEED,,F=0.22% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,88.9
2,RED GRANITES PRIM & PROPER,RED GRANITES ALYDAR,0.15,PROCEED,,F=0.15% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,64.0
2,HERITAGE SILVER PROMISE,RED GRANITES BRAVEHEART,0.05,PROCEED,R,rescue: last carrier of CRESCENT MOON'S KRYPTONITE; F=0.05% PROCEED,PPERUVIAN VICTOR G4563,100.0
2,MTAR PHASMA,SNOWMASS CONOPA XXX,2.59,PROCEED,R,"rescue: last carrier of MACINTOSH S086 ALOA, PPPERUVIAN PRESTIGE 4999; F=2.59% PROCEED",SNOWMASS CONOPA XXX,60.4
2,5C'S CHANTERELLA,SNOWMASS MAJESTIC REFLECTION,0.74,PROCEED,,F=0.74% PROCEED; no close common ancestor in the recorded pedigree,6PERUVIAN ACCOYO ELITE 5057 IMPR98,33.1
2,BOMBER'S DIAMOND LIL,SNOWMASS MAJESTIC REFLECTION,0.18,PROCEED,,F=0.18% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,55.2
2,WILLOWWIND SL HALO,SNOWMASS MAJESTIC REFLECTION,0.09,PROCEED,,F=0.09% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,53.3
2,WILLOWWIND ECHO DELTA,SNOWMASS MATRIX,0.88,PROCEED,R,rescue: last carrier of GARNETT; F=0.88% PROCEED,4PERUVIAN LEGACY 6016,88.9
2,MARY'S SIQUANI BELLE,SNOWMASS SMOKIN WAVES,0.05,PROCEED,,F=0.05% PROCEED; no close common ancestor in the recorded pedigree,,
2,RR SARAH VAUGHN,SNOWMASS SMOKIN WAVES,0.49,PROCEED,,F=0.49% PROCEED; no close common ancestor in the recorded pedigree,PERUVIAN HEMINGWAY G171,70.0
2,SC'S CHARENTE,SNOWMASS SMOKIN WAVES,0.16,PROCEED,,F=0.16% PROCEED; no close common ancestor in the recorded pedigree,PERUVIAN BUENO G173,62.7
2,RGR JUSTIFICATION,SPARTAN'S SILVER-LINING,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,SMOKIN HAUTE,SPARTAN'S SILVER-LINING,0.40,PROCEED,,F=0.40% PROCEED; no close common ancestor in the recorded pedigree,MFI PERUVIAN BLACK MESQUITE,48.5
2,SNOWMASS ALLURING XX,SPARTAN'S SILVER-LINING,0.11,PROCEED,,F=0.11% PROCEED; no close common ancestor in the recorded pedigree,PERUVIAN BUENO G173,91.4
2,RED GRANITES AFTERSHOCK,SSAFL MICHELANGELO'S PERUVIAN CUPID,0.01,PROCEED,,F=0.01% PROCEED; no close common ancestor in the recorded pedigree,,
2,RED GRANITES JEZEBELL,SSAFL MICHELANGELO'S PERUVIAN CUPID,0.01,PROCEED,,F=0.01% PROCEED; no close common ancestor in the recorded pedigree,,
2,RGR JIGSAW,SSAFL MICHELANGELO'S PERUVIAN CUPID,0.01,PROCEED,,F=0.01% PROCEED; no close common ancestor in the recorded pedigree,,
2,RED GRANITES JENGA,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,R,"rescue: last carrier of PANAM'S SILVER ANGEL IMPD98 TC), ACCOYO AMERICA ASPEN AC020, FIBRE WORKS DIAMONTE (+4 more); F=0.00% PROCEED",,
2,APP OSA PHRENCH BRAID,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,CRYSTAL MOCHACCINO,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,MISS ALOHA MOONSHINE,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,WILLOWWIND INSPIRATION,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
2,RED GRANITES JAFFA,WILLOWWIND SHOGUN,0.79,PROCEED,,F=0.79% PROCEED; no close common ancestor in the recorded pedigree,SNOWMASS CONOPA XXX,49.7
2,SC'S CARRINGTON,WILLOWWIND SHOGUN,0.54,PROCEED,,F=0.54% PROCEED; no close common ancestor in the recorded pedigree,PERUVIAN HEMINGWAY G171,36.4
2,SC'S CLARKIA,WILLOWWIND SHOGUN,0.45,PROCEED,,F=0.45% PROCEED; no close common ancestor in the recorded pedigree,SNOWMASS MATRIX,21.6
2,SNOWMASS IRON MAIDEN,WILLOWWIND THE SHAMAN,0.31,PROCEED,,F=0.31% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,64.0
2,SNOWMASS SIMPLY SMOKIN,WILLOWWIND THE SHAMAN,0.70,PROCEED,,F=0.70% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,84.2
2,THOR FARMS LOOKING GLASS,WILLOWWIND THE SHAMAN,0.18,PROCEED,,F=0.18% PROCEED; no close common ancestor in the recorded pedigree,,
3,RR PALOMA PICASSO,5C'S CAPTAIN CHAOS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RR WONDER WOMAN,5C'S CAPTAIN CHAOS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SC'S CHARENTE,ARAPAHO DELGADO'S ILLYAPA,0.00,PROCEED,R,"rescue: last carrier of AUSSIE GUNS -N- ROSES Huarava 320036107 - LIinited States, BISTURI, LV BLACK EYED SUSAN (+2 more); F=0.00% PROCEED",,
3,SC'S CLARKIA,CIRCLE CLIFF'S MELVIN,0.08,PROCEED,,F=0.08% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,64.0
3,THAT'LL DO BLACKBEARD'S BOOTY,CIRCLE CLIFF'S MELVIN,0.08,PROCEED,,F=0.08% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,61.5
3,RED GRANITES JAFFA,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RED GRANITES JENGA,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RGR'S MISS CONTRARY,CRESCENT MOON'S KEMMAUS,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,ROYAL DIAMANTE'S JEWEL,CRESCENT MOON'S KEMMAUS,0.06,PROCEED,,F=0.06% PROCEED; no close common ancestor in the recorded pedigree,PPPERUVIAN ROYAL FAWN 6014,100.0
3,IRISH MEADOWS TAYT,CRYSTAL ROYAL GOLD'S MACKINAW,0.00,PROCEED,R,"rescue: last carrier of SNOWMASS MIDNIGHT FOX, SNOWMASS QUECHUA'S SHAHTOOSH; F=0.00% PROCEED",,
3,4-SIGHT'S HOLIDAY,G-TRIBE'S ROCKY'S ASH,0.02,PROCEED,,F=0.02% PROCEED; no close common ancestor in the recorded pedigree,SNOWMASS ROSE PEARL,100.0
3,5C'S CHANTERELLA,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,BOMBER'S DIAMOND LIL,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,ESTATES LA PRESTIGE CRIMSON,G-TRIBE'S ROCKY'S ASH,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SNOWMASS IRON MAIDEN,HMAF'S AIRGEAD,0.05,PROCEED,,F=0.05% PROCEED; no close common ancestor in the recorded pedigree,,
3,THOR FARMS LOOKING GLASS,HMAF'S AIRGEAD,0.07,PROCEED,,F=0.07% PROCEED; no close common ancestor in the recorded pedigree,,
3,WILLOWWIND ECHO DELTA,HMAF'S AIRGEAD,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,WILLOWWIND INSPIRATION,HMAF'S AIRGEAD,0.10,PROCEED,,F=0.10% PROCEED; no close common ancestor in the recorded pedigree,PPPERUVIAN AUGUSTO 6009,100.0
3,MISS AUTARY,LIBERTYALPACAS SMOKE SCREEN,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,NOBLE AMARETTO,LIBERTYALPACAS SMOKE SCREEN,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SNOWMASS ALLURING XX,LIBERTYALPACAS SMOKE SCREEN,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SNOWMASS SIMPLY SMOKIN,LIBERTYALPACAS SMOKE SCREEN,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RED GRANITES JEZEBELL,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RGR JIGSAW,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RGR JUSTIFICATION,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
